Scan #,Time,Uniaxial Gage 1 on S1-Ch2 microstrain,Uniaxial Gage 2 on S1-Ch1 microstrain,Load on S1-Ch3 kN
11,1100000,-2,2,0.0000
12,1200000,-2,2,0.0000
13,1300000,-2,2,-0.0010
14,1400000,-2,2,0.0000
15,1500000,-2,2,0.0000
16,1600000,-2,2,0.0000
17,1700000,-2,2,0.0000
18,1800000,-2,2,0.0000
19,1900000,-2,2,0.0000
20,2000000,-2,2,0.0000
21,2100000,-2,2,0.0000
22,2200000,-2,2,0.0010
23,2300000,-2,2,0.0000
24,2400000,-2,2,0.0010
25,2500000,-2,2,0.0010
26,2600000,-2,2,0.0000
27,2700000,-2,2,0.0010
28,2800000,-2,2,0.0010
29,2900000,-2,2,0.0000
30,3000000,-2,2,0.0010
31,3100000,-2,2,0.0000
32,3200000,-2,2,-0.0010
33,3300000,-2,2,0.0000
34,3400000,-2,2,0.0010
35,3500000,-2,2,0.0010
36,3600000,-2,2,0.0000
37,3700000,-2,2,0.0000
38,3800000,-2,2,0.0000
39,3900000,-2,2,0.0000
40,4000000,-2,2,0.0000
41,4100000,-2,2,0.0010
42,4200000,-2,2,0.0010
43,4300000,-2,2,0.0010
44,4400000,-2,2,-0.0010
45,4500000,-2,2,0.0010
46,4600000,-2,2,0.0000
47,4700000,-2,2,0.0000
48,4800000,-2,2,0.0000
49,4900000,-2,2,0.0000
50,5000000,-2,2,0.0000
51,5100000,-2,2,0.0000
52,5200000,-2,2,0.0010
53,5300000,-2,2,0.0000
54,5400000,-2,2,0.0000
55,5500000,-2,2,0.0000
56,5600000,-2,2,0.0000
57,5700000,-2,2,0.0010
58,5800000,-2,2,0.0010
59,5900000,-2,2,0.0000
60,6000000,-2,2,0.0000
61,6100000,-2,2,-0.0010
62,6200000,-2,2,0.0000
63,6300000,-2,2,0.0010
64,6400000,-2,2,0.0000
65,6500000,-2,2,0.0010
66,6600000,-2,2,0.0010
67,6700000,-2,2,0.0010
68,6800000,-2,2,0.0000
69,6900000,-2,2,0.0000
70,7000000,-2,2,0.0000
71,7100000,-2,2,0.0010
72,7200000,-2,2,0.0000
73,7300000,-2,2,0.0010
74,7400000,-2,2,0.0000
75,7500000,-2,2,0.0010
76,7600000,-2,2,0.0000
77,7700000,-2,2,0.0000
78,7800000,-2,2,0.0000
79,7900000,-2,2,0.0000
80,8000000,-2,2,0.0000
81,8100000,-2,2,0.0000
82,8200000,-2,2,0.0000
83,8300000,-2,2,0.0000
84,8400000,-2,2,0.0000
85,8500000,-2,2,0.0010
86,8600000,-2,2,0.0010
87,8700000,-2,2,0.0000
88,8800000,-2,2,0.0000
89,8900000,-2,2,0.0000
90,9000000,-2,2,0.0010
91,9100000,-2,2,0.0010
92,9200000,-2,2,0.0010
93,9300000,-2,2,0.0000
94,9400000,-2,2,0.0010
95,9500000,-2,2,0.0000
96,9600000,-2,2,0.0010
97,9700000,-2,2,0.0000
98,9800000,-2,2,0.0000
99,9900000,-2,2,0.0000
100,10000000,-2,2,0.0020
101,10100000,-2,2,0.0010
102,10200000,-2,2,0.0010
103,10300000,-2,2,0.0010
104,10400000,-2,2,0.0010
105,10500000,-2,2,0.0000
106,10600000,-2,2,0.0000
107,10700000,-2,2,0.0010
108,10800000,-2,2,0.0000
109,10900000,-2,2,0.0010
110,11000000,-2,2,0.0010
111,11100000,-2,2,0.0010
112,11200000,-2,2,0.0010
113,11300000,-2,2,0.0000
114,11400000,-2,2,0.0010
115,11500000,-2,2,0.0000
116,11600000,-2,2,0.0010
117,11700000,-2,2,0.0010
118,11800000,-2,2,0.0010
119,11900000,-2,2,0.0010
120,12000000,-2,2,0.0000
121,12100000,-2,2,0.0010
122,12200000,-2,2,0.0000
123,12300000,-2,2,0.0000
124,12400000,-2,2,0.0010
125,12500000,-2,2,0.0010
126,12600000,-2,2,0.0010
127,12700000,-2,2,0.0000
128,12800000,-2,2,-0.0010
129,12900000,-2,2,0.0010
130,13000000,-2,2,0.0000
131,13100000,-2,2,0.0000
132,13200000,-2,2,0.0000
133,13300000,-2,2,0.0000
134,13400000,-2,2,0.0020
135,13500000,-2,2,0.0000
136,13600000,-1,0,-0.0020
137,13700000,2,-2,-0.0030
138,13800000,5,-5,-0.0030
139,13900000,8,-8,-0.0030
140,14000000,10,-11,-0.0040
141,14100000,13,-13,-0.0040
142,14200000,15,-16,-0.0040
143,14300000,18,-18,-0.0040
144,14400000,21,-21,-0.0040
145,14500000,24,-24,-0.0040
