Scan #,Time,Uniaxial Gage 1 on S1-Ch2 microstrain,Uniaxial Gage 2 on S1-Ch1 microstrain,Load on S1-Ch3 kN
11,1100000,-6,6,0.0080
12,1200000,-6,6,0.0080
13,1300000,-7,6,0.0060
14,1400000,-6,6,0.0070
15,1500000,-6,6,0.0040
16,1600000,-6,6,0.0060
17,1700000,-7,6,0.0070
18,1800000,-6,6,0.0100
19,1900000,-7,6,0.0050
20,2000000,-6,7,0.0060
21,2100000,-6,7,0.0090
22,2200000,-7,6,0.0090
23,2300000,-7,7,0.0050
24,2400000,-7,6,0.0090
25,2500000,-7,6,0.0100
26,2600000,-7,6,0.0090
27,2700000,-7,6,0.0070
28,2800000,-7,6,0.0050
29,2900000,-7,6,0.0070
30,3000000,-7,6,0.0070
31,3100000,-7,6,0.0070
32,3200000,-7,6,0.0050
33,3300000,-7,6,0.0100
34,3400000,-7,6,0.0070
35,3500000,-7,6,0.0080
36,3600000,-7,6,0.0030
37,3700000,-7,7,0.0070
38,3800000,-7,7,0.0060
39,3900000,-7,6,0.0040
40,4000000,-7,7,0.0090
41,4100000,-7,6,0.0070
42,4200000,-7,6,0.0050
43,4300000,-7,6,0.0070
44,4400000,-7,6,0.0070
45,4500000,-7,6,0.0070
46,4600000,-7,6,0.0080
47,4700000,-7,7,0.0110
48,4800000,-7,7,0.0060
49,4900000,-7,7,0.0050
50,5000000,-7,6,0.0060
51,5100000,-7,7,0.0070
52,5200000,-7,6,0.0060
53,5300000,-7,7,0.0060
54,5400000,-7,6,0.0050
55,5500000,-7,7,0.0100
56,5600000,-7,7,0.0060
57,5700000,-7,7,0.0060
58,5800000,-7,6,0.0070
59,5900000,-7,7,0.0100
60,6000000,-7,7,0.0080
61,6100000,-7,7,0.0070
62,6200000,-7,7,0.0070
63,6300000,-7,7,0.0090
64,6400000,-7,7,0.0080
65,6500000,-7,7,0.0100
66,6600000,-7,7,0.0040
67,6700000,-7,7,0.0060
68,6800000,-7,7,0.0060
69,6900000,-7,7,0.0070
70,7000000,-7,7,0.0060
71,7100000,-8,7,0.0040
72,7200000,-8,7,0.0050
73,7300000,-8,7,0.0060
74,7400000,-7,7,0.0090
75,7500000,-8,7,0.0080
76,7600000,-8,7,0.0050
77,7700000,-8,7,0.0060
78,7800000,-8,7,0.0100
79,7900000,-8,7,0.0070
80,8000000,-8,7,0.0060
81,8100000,-8,7,0.0070
82,8200000,-8,7,0.0050
83,8300000,-8,7,0.0050
84,8400000,-8,7,0.0050
85,8500000,-8,7,0.0100
86,8600000,-8,7,0.0040
87,8700000,-8,7,0.0080
88,8800000,-8,7,0.0110
89,8900000,-8,7,0.0060
90,9000000,-8,7,0.0080
91,9100000,-8,7,0.0080
92,9200000,-8,7,0.0060
93,9300000,-8,7,0.0060
94,9400000,-8,7,0.0100
95,9500000,-8,7,0.0060
96,9600000,-8,7,0.0090
97,9700000,-8,7,0.0090
98,9800000,-8,7,0.0080
99,9900000,-8,7,0.0100
100,10000000,-8,7,0.0090
101,10100000,-8,7,0.0090
102,10200000,-8,7,0.0080
103,10300000,-8,7,0.0100
104,10400000,-8,7,0.0100
105,10500000,-8,7,0.0100
106,10600000,-8,7,0.0080
107,10700000,-8,7,0.0060
108,10800000,-8,7,0.0100
109,10900000,-8,7,0.0070
110,11000000,-8,7,0.0080
111,11100000,-8,6,0.0000
112,11200000,-6,4,-0.0070
113,11300000,-3,1,-0.0100
114,11400000,0,-2,-0.0110
115,11500000,3,-6,-0.0130
116,11600000,7,-8,-0.0130
117,11700000,9,-11,-0.0140
118,11800000,10,-12,-0.0140
119,11900000,13,-15,-0.0140
120,12000000,15,-18,-0.0140
121,12100000,19,-22,-0.0150
122,12200000,22,-25,-0.0150
123,12300000,24,-27,-0.0150
124,12400000,26,-30,-0.0150
125,12500000,29,-32,-0.0150
126,12600000,31,-35,-0.0150
127,12700000,34,-37,-0.0150
128,12800000,37,-41,-0.0160
129,12900000,39,-45,-0.0190
130,13000000,40,-48,-0.0250
131,13100000,35,-53,-0.0380
132,13200000,29,-60,-0.0580
133,13300000,23,-66,-0.0760
134,13400000,15,-73,-0.0970
135,13500000,8,-81,-0.1170
136,13600000,1,-89,-0.1410
137,13700000,-9,-99,-0.1680
138,13800000,-20,-110,-0.2000
139,13900000,-33,-123,-0.2400
140,14000000,-44,-136,-0.2750
141,14100000,-57,-149,-0.3120
142,14200000,-68,-160,-0.3450
143,14300000,-80,-172,-0.3800
144,14400000,-92,-186,-0.4170
145,14500000,-106,-200,-0.4590
146,14600000,-122,-216,-0.5060
147,14700000,-138,-233,-0.5550
148,14800000,-157,-254,-0.6120
149,14900000,-177,-275,-0.6700
150,15000000,-192,-291,-0.7170
151,15100000,-208,-309,-0.7670
152,15200000,-230,-332,-0.8310
153,15300000,-247,-351,-0.8830
154,15400000,-259,-365,-0.9190
155,15500000,-273,-380,-0.9600
156,15600000,-289,-399,-1.0120
157,15700000,-306,-418,-1.0650
158,15800000,-322,-437,-1.1160
159,15900000,-338,-457,-1.1660
160,16000000,-360,-482,-1.2350
161,16100000,-375,-500,-1.2850
162,16200000,-390,-519,-1.3350
163,16300000,-401,-533,-1.3700
164,16400000,-415,-550,-1.4170
165,16500000,-432,-569,-1.4690
166,16600000,-449,-589,-1.5270
167,16700000,-464,-607,-1.5750
168,16800000,-481,-625,-1.6250
169,16900000,-495,-639,-1.6670
170,17000000,-506,-651,-1.7020
171,17100000,-517,-662,-1.7340
172,17200000,-527,-673,-1.7680
173,17300000,-545,-690,-1.8170
174,17400000,-562,-709,-1.8730
175,17500000,-579,-727,-1.9250
176,17600000,-594,-742,-1.9720
177,17700000,-609,-756,-2.0150
178,17800000,-621,-769,-2.0520
179,17900000,-628,-776,-2.0730
180,18000000,-637,-786,-2.1010
181,18100000,-649,-798,-2.1390
182,18200000,-665,-815,-2.1900
183,18300000,-683,-834,-2.2450
184,18400000,-699,-852,-2.2930
185,18500000,-708,-860,-2.3200
186,18600000,-711,-863,-2.3300
187,18700000,-717,-870,-2.3480
188,18800000,-722,-875,-2.3670
189,18900000,-731,-884,-2.3940
190,19000000,-741,-895,-2.4260
191,19100000,-754,-909,-2.4660
192,19200000,-766,-921,-2.5010
193,19300000,-772,-928,-2.5190
194,19400000,-775,-930,-2.5280
195,19500000,-779,-935,-2.5400
196,19600000,-785,-941,-2.5580
197,19700000,-794,-950,-2.5840
198,19800000,-796,-953,-2.5930
199,19900000,-804,-960,-2.6160
200,20000000,-812,-969,-2.6420
201,20100000,-809,-965,-2.6350
202,20200000,-811,-967,-2.6410
203,20300000,-814,-970,-2.6490
204,20400000,-817,-973,-2.6580
205,20500000,-822,-978,-2.6730
206,20600000,-830,-986,-2.6940
207,20700000,-839,-996,-2.7220
208,20800000,-849,"-1,006",-2.7500
209,20900000,-860,"-1,018",-2.7810
210,21000000,-867,"-1,025",-2.8040
211,21100000,-868,"-1,026",-2.8070
212,21200000,-874,"-1,032",-2.8250
213,21300000,-885,"-1,043",-2.8590
214,21400000,-895,"-1,053",-2.8880
215,21500000,-903,"-1,062",-2.9140
216,21600000,-913,"-1,071",-2.9410
217,21700000,-920,"-1,079",-2.9640
218,21800000,-930,"-1,089",-2.9920
219,21900000,-937,"-1,096",-3.0120
220,22000000,-942,"-1,103",-3.0310
221,22100000,-953,"-1,113",-3.0630
222,22200000,-964,"-1,125",-3.0990
223,22300000,-973,"-1,135",-3.1260
224,22400000,-983,"-1,145",-3.1530
225,22500000,-989,"-1,151",-3.1750
226,22600000,-999,"-1,161",-3.2000
227,22700000,"-1,011","-1,174",-3.2360
228,22800000,"-1,023","-1,187",-3.2740
229,22900000,"-1,037","-1,202",-3.3190
230,23000000,"-1,049","-1,215",-3.3540
231,23100000,"-1,060","-1,225",-3.3860
232,23200000,"-1,067","-1,233",-3.4090
233,23300000,"-1,073","-1,240",-3.4270
234,23400000,"-1,082","-1,248",-3.4520
235,23500000,"-1,094","-1,261",-3.4870
236,23600000,"-1,109","-1,277",-3.5340
237,23700000,"-1,122","-1,290",-3.5730
238,23800000,"-1,130","-1,299",-3.5960
239,23900000,"-1,141","-1,310",-3.6290
240,24000000,"-1,152","-1,322",-3.6630
241,24100000,"-1,161","-1,332",-3.6870
242,24200000,"-1,171","-1,342",-3.7170
243,24300000,"-1,182","-1,353",-3.7510
244,24400000,"-1,198","-1,370",-3.7990
245,24500000,"-1,218","-1,391",-3.8570
246,24600000,"-1,230","-1,404",-3.8960
247,24700000,"-1,240","-1,414",-3.9250
248,24800000,"-1,250","-1,424",-3.9540
249,24900000,"-1,258","-1,432",-3.9780
250,25000000,"-1,265","-1,440",-4.0000
251,25100000,"-1,275","-1,451",-4.0310
252,25200000,"-1,288","-1,465",-4.0700
253,25300000,"-1,311","-1,489",-4.1360
254,25400000,"-1,324","-1,502",-4.1750
255,25500000,"-1,335","-1,514",-4.2070
256,25600000,"-1,346","-1,525",-4.2400
257,25700000,"-1,353","-1,532",-4.2630
258,25800000,"-1,363","-1,543",-4.2930
259,25900000,"-1,377","-1,558",-4.3350
260,26000000,"-1,391","-1,572",-4.3750
261,26100000,"-1,405","-1,588",-4.4190
262,26200000,"-1,422","-1,605",-4.4680
263,26300000,"-1,436","-1,619",-4.5100
264,26400000,"-1,446","-1,630",-4.5410
265,26500000,"-1,456","-1,640",-4.5700
266,26600000,"-1,465","-1,650",-4.5970
267,26700000,"-1,478","-1,663",-4.6320
268,26800000,"-1,495","-1,682",-4.6810
269,26900000,"-1,515","-1,703",-4.7410
270,27000000,"-1,532","-1,720",-4.7920
271,27100000,"-1,542","-1,730",-4.8210
272,27200000,"-1,552","-1,741",-4.8510
273,27300000,"-1,562","-1,752",-4.8800
274,27400000,"-1,573","-1,764",-4.9150
275,27500000,"-1,587","-1,779",-4.9580
276,27600000,"-1,607","-1,799",-5.0150
277,27700000,"-1,617","-1,810",-5.0450
278,27800000,"-1,633","-1,827",-5.0910
279,27900000,"-1,651","-1,847",-5.1470
280,28000000,"-1,663","-1,859",-5.1830
281,28100000,"-1,669","-1,865",-5.2000
282,28200000,"-1,682","-1,878",-5.2360
283,28300000,"-1,698","-1,897",-5.2860
284,28400000,"-1,713","-1,911",-5.3280
285,28500000,"-1,727","-1,926",-5.3690
286,28600000,"-1,741","-1,941",-5.4100
