Scan #,Time,Uniaxial Gage 1 on S1-Ch2 microstrain,Uniaxial Gage 2 on S1-Ch1 microstrain,Load on S1-Ch3 kN
11,1100000,-1,1,0.0000
12,1200000,-1,2,0.0010
13,1300000,-1,1,0.0000
14,1400000,-1,1,0.0000
15,1500000,-1,2,0.0010
16,1600000,-1,2,0.0010
17,1700000,-1,1,0.0000
18,1800000,-1,2,0.0000
19,1900000,-1,2,0.0010
20,2000000,-1,2,0.0010
21,2100000,-1,2,0.0020
22,2200000,-1,2,0.0030
23,2300000,-1,2,0.0000
24,2400000,-1,2,0.0000
25,2500000,-1,2,-0.0010
26,2600000,-2,2,-0.0010
27,2700000,-2,2,0.0000
28,2800000,-2,2,0.0000
29,2900000,-2,2,-0.0020
30,3000000,-1,2,0.0010
31,3100000,-1,2,-0.0010
32,3200000,-1,2,0.0010
33,3300000,-1,2,-0.0010
34,3400000,-2,2,0.0000
35,3500000,-2,2,0.0000
36,3600000,-1,2,0.0010
37,3700000,-1,2,0.0010
38,3800000,-1,2,0.0000
39,3900000,-2,2,0.0000
40,4000000,-2,2,0.0000
41,4100000,-2,1,0.0000
42,4200000,-2,1,0.0010
43,4300000,-2,2,-0.0010
44,4400000,-1,2,0.0010
45,4500000,-2,1,-0.0010
46,4600000,-2,1,0.0000
47,4700000,-1,2,0.0010
48,4800000,-2,2,0.0010
49,4900000,-1,2,0.0010
50,5000000,-1,2,0.0020
51,5100000,-1,2,0.0010
52,5200000,-1,2,0.0000
53,5300000,-1,2,0.0000
54,5400000,-1,2,0.0020
55,5500000,-1,2,0.0000
56,5600000,-1,2,0.0000
57,5700000,-2,1,-0.0010
58,5800000,-1,2,0.0000
59,5900000,-1,2,0.0000
60,6000000,-1,2,0.0000
61,6100000,-1,2,0.0000
62,6200000,-1,2,0.0000
63,6300000,-2,2,-0.0010
64,6400000,-1,2,0.0010
65,6500000,-1,2,0.0020
66,6600000,-1,2,0.0000
67,6700000,-2,1,-0.0020
68,6800000,-1,2,0.0010
69,6900000,-1,2,0.0010
70,7000000,-1,2,0.0000
71,7100000,-1,2,0.0000
72,7200000,-2,2,0.0000
73,7300000,-1,1,0.0000
74,7400000,-1,2,0.0000
75,7500000,-1,2,0.0000
76,7600000,-2,1,-0.0010
77,7700000,-2,1,0.0000
78,7800000,-1,2,0.0010
79,7900000,-1,2,0.0010
80,8000000,-2,2,0.0000
81,8100000,-2,1,0.0000
82,8200000,-2,1,0.0000
83,8300000,-2,1,0.0000
84,8400000,-2,2,0.0010
85,8500000,-1,2,0.0030
86,8600000,-2,2,0.0000
87,8700000,-2,2,0.0000
88,8800000,-2,2,0.0000
89,8900000,-2,2,0.0010
90,9000000,-1,2,0.0020
91,9100000,-2,2,0.0000
92,9200000,-2,2,0.0010
93,9300000,-2,2,0.0010
94,9400000,-2,2,-0.0010
95,9500000,-2,2,-0.0010
96,9600000,-2,2,0.0010
97,9700000,-2,2,-0.0010
98,9800000,-2,2,-0.0020
99,9900000,-1,0,-0.0030
100,10000000,1,-3,-0.0030
101,10100000,3,-5,-0.0030
102,10200000,5,-9,-0.0030
103,10300000,7,-12,-0.0050
104,10400000,9,-16,-0.0120
105,10500000,11,-20,-0.0170
106,10600000,12,-25,-0.0170
107,10700000,13,-28,-0.0220
108,10800000,14,-31,-0.0300
109,10900000,14,-35,-0.0320
110,11000000,14,-39,-0.0330
111,11100000,15,-43,-0.0440
112,11200000,16,-49,-0.0470
113,11300000,16,-54,-0.0570
114,11400000,13,-60,-0.0710
115,11500000,4,-66,-0.0940
116,11600000,-3,-73,-0.1180
117,11700000,-9,-78,-0.1350
118,11800000,-16,-84,-0.1550
119,11900000,-24,-91,-0.1780
120,12000000,-33,-98,-0.2040
121,12100000,-43,-107,-0.2340
122,12200000,-52,-114,-0.2580
123,12300000,-60,-122,-0.2840
124,12400000,-69,-129,-0.3110
125,12500000,-77,-136,-0.3340
126,12600000,-85,-142,-0.3550
127,12700000,-94,-150,-0.3820
128,12800000,-103,-159,-0.4090
129,12900000,-115,-169,-0.4430
130,13000000,-126,-178,-0.4760
131,13100000,-134,-185,-0.4990
132,13200000,-143,-192,-0.5240
133,13300000,-155,-203,-0.5580
134,13400000,-167,-213,-0.5930
135,13500000,-179,-223,-0.6280
136,13600000,-191,-234,-0.6630
137,13700000,-203,-244,-0.6970
138,13800000,-215,-255,-0.7330
139,13900000,-228,-266,-0.7700
140,14000000,-240,-276,-0.8030
141,14100000,-252,-287,-0.8390
142,14200000,-263,-296,-0.8690
143,14300000,-273,-305,-0.8970
144,14400000,-283,-314,-0.9250
145,14500000,-295,-325,-0.9610
146,14600000,-309,-336,-1.0000
147,14700000,-322,-348,-1.0390
148,14800000,-335,-360,-1.0790
149,14900000,-353,-376,-1.1280
150,15000000,-369,-390,-1.1740
151,15100000,-383,-402,-1.2150
152,15200000,-395,-413,-1.2500
153,15300000,-407,-425,-1.2880
154,15400000,-421,-437,-1.3280
155,15500000,-434,-450,-1.3650
156,15600000,-447,-462,-1.4040
157,15700000,-464,-478,-1.4550
158,15800000,-481,-494,-1.5070
159,15900000,-492,-506,-1.5440
160,16000000,-501,-516,-1.5720
161,16100000,-512,-528,-1.6060
162,16200000,-523,-539,-1.6370
163,16300000,-533,-551,-1.6730
164,16400000,-546,-564,-1.7130
165,16500000,-559,-578,-1.7550
166,16600000,-573,-592,-1.7970
167,16700000,-588,-607,-1.8420
168,16800000,-601,-620,-1.8840
169,16900000,-613,-633,-1.9230
170,17000000,-626,-647,-1.9670
171,17100000,-640,-661,-2.0080
172,17200000,-652,-673,-2.0450
173,17300000,-663,-684,-2.0780
174,17400000,-675,-697,-2.1170
175,17500000,-692,-714,-2.1700
176,17600000,-707,-728,-2.2160
177,17700000,-717,-739,-2.2470
178,17800000,-726,-749,-2.2750
179,17900000,-738,-761,-2.3120
180,18000000,-753,-775,-2.3580
181,18100000,-771,-794,-2.4150
182,18200000,-788,-811,-2.4660
183,18300000,-809,-832,-2.5310
184,18400000,-825,-849,-2.5780
185,18500000,-833,-857,-2.6070
186,18600000,-842,-865,-2.6350
187,18700000,-853,-876,-2.6660
188,18800000,-866,-889,-2.7050
189,18900000,-881,-904,-2.7490
190,19000000,-899,-922,-2.8020
191,19100000,-916,-940,-2.8560
192,19200000,-935,-958,-2.9130
193,19300000,-947,-971,-2.9520
194,19400000,-958,-981,-2.9830
195,19500000,-966,-989,-3.0070
196,19600000,-977,"-1,000",-3.0430
197,19700000,-993,"-1,015",-3.0900
198,19800000,"-1,009","-1,032",-3.1400
199,19900000,"-1,027","-1,050",-3.1930
200,20000000,"-1,042","-1,065",-3.2370
201,20100000,"-1,060","-1,082",-3.2920
202,20200000,"-1,074","-1,097",-3.3380
203,20300000,"-1,086","-1,109",-3.3730
204,20400000,"-1,098","-1,121",-3.4110
205,20500000,"-1,109","-1,131",-3.4430
206,20600000,"-1,123","-1,145",-3.4850
207,20700000,"-1,138","-1,160",-3.5310
208,20800000,"-1,153","-1,175",-3.5760
209,20900000,"-1,171","-1,193",-3.6280
210,21000000,"-1,181","-1,203",-3.6590
211,21100000,"-1,191","-1,213",-3.6880
212,21200000,"-1,201","-1,223",-3.7180
213,21300000,"-1,214","-1,236",-3.7590
214,21400000,"-1,231","-1,252",-3.8060
215,21500000,"-1,249","-1,270",-3.8630
216,21600000,"-1,267","-1,288",-3.9170
217,21700000,"-1,282","-1,303",-3.9620
218,21800000,"-1,293","-1,315",-3.9980
219,21900000,"-1,305","-1,326",-4.0330
220,22000000,"-1,317","-1,337",-4.0680
221,22100000,"-1,325","-1,345",-4.0940
222,22200000,"-1,340","-1,360",-4.1370
223,22300000,"-1,356","-1,375",-4.1820
224,22400000,"-1,376","-1,396",-4.2450
225,22500000,"-1,392","-1,411",-4.2930
226,22600000,"-1,400","-1,419",-4.3190
227,22700000,"-1,414","-1,433",-4.3610
228,22800000,"-1,426","-1,446",-4.3990
229,22900000,"-1,438","-1,457",-4.4310
230,23000000,"-1,450","-1,468",-4.4680
231,23100000,"-1,465","-1,483",-4.5120
232,23200000,"-1,482","-1,500",-4.5630
233,23300000,"-1,499","-1,517",-4.6120
234,23400000,"-1,509","-1,527",-4.6420
235,23500000,"-1,520","-1,538",-4.6740
236,23600000,"-1,534","-1,551",-4.7150
237,23700000,"-1,548","-1,566",-4.7590
238,23800000,"-1,561","-1,579",-4.7980
239,23900000,"-1,577","-1,593",-4.8430
240,24000000,"-1,592","-1,608",-4.8870
241,24100000,"-1,605","-1,621",-4.9270
242,24200000,"-1,621","-1,637",-4.9760
243,24300000,"-1,639","-1,654",-5.0280
244,24400000,"-1,656","-1,671",-5.0780
245,24500000,"-1,667","-1,683",-5.1120
246,24600000,"-1,677","-1,692",-5.1400
247,24700000,"-1,688","-1,703",-5.1760
248,24800000,"-1,702","-1,716",-5.2160
249,24900000,"-1,716","-1,730",-5.2580
250,25000000,"-1,734","-1,748",-5.3110
251,25100000,"-1,751","-1,765",-5.3610
252,25200000,"-1,766","-1,780",-5.4070
253,25300000,"-1,782","-1,795",-5.4530
