Scan #,Time,Uniaxial Gage 1 on S1-Ch2 microstrain,Uniaxial Gage 2 on S1-Ch1 microstrain,Load on S1-Ch3 kN
11,1100000,-14,5,0.0310
12,1200000,-14,5,0.0310
13,1300000,-14,5,0.0310
14,1400000,-14,5,0.0310
15,1500000,-14,5,0.0320
16,1600000,-14,5,0.0320
17,1700000,-14,5,0.0300
18,1800000,-14,5,0.0310
19,1900000,-14,5,0.0310
20,2000000,-14,5,0.0310
21,2100000,-14,5,0.0320
22,2200000,-14,5,0.0310
23,2300000,-14,5,0.0310
24,2400000,-14,5,0.0310
25,2500000,-14,5,0.0300
26,2600000,-14,5,0.0310
27,2700000,-14,5,0.0310
28,2800000,-14,5,0.0310
29,2900000,-14,5,0.0300
30,3000000,-14,5,0.0310
31,3100000,-14,5,0.0310
32,3200000,-14,5,0.0310
33,3300000,-14,5,0.0320
34,3400000,-14,5,0.0320
35,3500000,-14,5,0.0310
36,3600000,-14,5,0.0320
37,3700000,-14,5,0.0320
38,3800000,-14,5,0.0320
39,3900000,-14,5,0.0320
40,4000000,-14,5,0.0320
41,4100000,-14,5,0.0320
42,4200000,-14,5,0.0320
43,4300000,-14,5,0.0320
44,4400000,-14,5,0.0320
45,4500000,-14,5,0.0310
46,4600000,-14,5,0.0310
47,4700000,-14,5,0.0310
48,4800000,-14,5,0.0310
49,4900000,-14,5,0.0320
50,5000000,-14,5,0.0310
51,5100000,-14,5,0.0310
52,5200000,-14,5,0.0310
53,5300000,-14,5,0.0310
54,5400000,-14,5,0.0310
55,5500000,-14,5,0.0300
56,5600000,-14,5,0.0310
57,5700000,-14,5,0.0310
58,5800000,-14,5,0.0310
59,5900000,-14,5,0.0310
60,6000000,-14,5,0.0310
61,6100000,-14,5,0.0320
62,6200000,-14,5,0.0320
63,6300000,-14,5,0.0320
64,6400000,-14,5,0.0310
65,6500000,-14,5,0.0300
66,6600000,-14,6,0.0320
67,6700000,-14,6,0.0320
68,6800000,-14,6,0.0320
69,6900000,-14,5,0.0320
70,7000000,-14,5,0.0310
71,7100000,-14,5,0.0310
72,7200000,-14,5,0.0310
73,7300000,-14,6,0.0320
74,7400000,-14,6,0.0310
75,7500000,-14,5,0.0320
76,7600000,-14,6,0.0320
77,7700000,-14,6,0.0320
78,7800000,-14,5,0.0310
79,7900000,-14,6,0.0320
80,8000000,-14,6,0.0320
81,8100000,-14,6,0.0320
82,8200000,-14,6,0.0320
83,8300000,-14,5,0.0320
84,8400000,-14,6,0.0320
85,8500000,-14,6,0.0310
86,8600000,-14,5,0.0320
87,8700000,-14,6,0.0320
88,8800000,-14,6,0.0320
89,8900000,-14,6,0.0320
90,9000000,-14,6,0.0320
91,9100000,-14,6,0.0310
92,9200000,-14,6,0.0320
93,9300000,-14,6,0.0320
94,9400000,-14,6,0.0320
95,9500000,-14,6,0.0320
96,9600000,-15,6,0.0310
97,9700000,-15,6,0.0300
98,9800000,-15,6,0.0320
99,9900000,-15,6,0.0310
100,10000000,-15,6,0.0300
101,10100000,-15,6,0.0320
102,10200000,-15,6,0.0310
103,10300000,-15,6,0.0320
104,10400000,-15,6,0.0320
105,10500000,-15,6,0.0320
106,10600000,-15,6,0.0310
107,10700000,-15,6,0.0320
108,10800000,-15,6,0.0320
109,10900000,-15,6,0.0310
110,11000000,-15,6,0.0310
111,11100000,-15,6,0.0310
112,11200000,-15,6,0.0320
113,11300000,-15,6,0.0280
114,11400000,-16,5,0.0100
115,11500000,-15,3,0.0020
116,11600000,-13,1,-0.0070
117,11700000,-11,-1,-0.0120
118,11800000,-9,-4,-0.0110
119,11900000,-6,-7,-0.0120
120,12000000,-3,-10,-0.0120
121,12100000,-1,-12,-0.0120
122,12200000,1,-15,-0.0150
123,12300000,0,-19,-0.0250
124,12400000,-4,-24,-0.0370
