Specimen name,"CAG-CF-ER-Comp-E2"
Width,"9.80000",mm
Thickness,"2.30000",mm
Failure mode,<None>

Load,Extension,Front Strain,Rear Strain,Time
(kN),(mm),(usn),(usn),(s)
"-0.00037","0.00000","-2.44769","-0.34094","0.00000"
"0.00080","0.00017","-1.92272","0.36820","0.10000"
"0.01773","0.00139","9.09136","14.50340","0.20000"
"0.06528","0.00428","42.24256","57.81521","0.30000"
"0.09946","0.00633","66.17526","87.88650","0.40000"
"0.12444","0.00786","82.94098","111.08564","0.50000"
"0.15407","0.00966","102.46390","137.44524","0.60000"
"0.18493","0.01155","123.70640","165.64268","0.70000"
"0.20262","0.01267","136.58535","181.58311","0.80000"
"0.23715","0.01478","160.92787","212.81934","0.90000"
"0.26155","0.01631","176.96910","234.62261","1.00000"
"0.28888","0.01801","196.23694","259.11254","1.10000"
"0.31508","0.01965","213.22246","283.57978","1.20000"
"0.34170","0.02132","231.02482","308.48105","1.30000"
"0.37030","0.02311","251.39161","335.54819","1.40000"
"0.38893","0.02433","262.69807","352.02241","1.50000"
"0.42422","0.02650","286.29406","384.90316","1.60000"
"0.44797","0.02802","303.50088","407.85226","1.70000"
"0.47317","0.02961","321.00966","431.56734","1.80000"
"0.49980","0.03128","338.75296","456.17734","1.90000"
"0.52627","0.03297","356.69320","481.69482","2.00000"
"0.55465","0.03476","376.22527","508.75341","2.10000"
"0.57393","0.03603","389.18684","525.99801","2.20000"
"0.60850","0.03818","413.89925","560.10141","2.30000"
"0.63074","0.03965","429.96026","581.89372","2.40000"
"0.65445","0.04120","444.48694","604.12812","2.50000"
"0.68292","0.04301","463.93345","630.57669","2.60000"
"0.70883","0.04471","481.55841","655.36157","2.70000"
"0.73450","0.04639","498.51870","680.33481","2.80000"
"0.75513","0.04778","514.05584","700.24014","2.90000"
"0.78580","0.04974","534.30820","729.91307","3.00000"
"0.81083","0.05141","552.23558","752.94828","3.10000"
"0.83188","0.05287","565.92288","772.69983","3.20000"
"0.86016","0.05471","587.47444","799.48973","3.30000"
"0.88677","0.05649","604.99553","824.81792","3.40000"
"0.90746","0.05796","620.55315","844.26120","3.50000"
"0.92913","0.05948","635.05408","862.98789","3.60000"
"0.95712","0.06137","657.57358","889.81673","3.70000"
"0.98247","0.06313","676.75812","911.07213","3.80000"
"1.00130","0.06455","691.41935","928.25107","3.90000"
"1.02729","0.06635","711.17625","950.88570","4.00000"
"1.05247","0.06812","729.46923","973.98349","4.10000"
"1.07111","0.06954","744.34245","990.31872","4.20000"
"1.09518","0.07122","763.36961","1012.32890","4.30000"
"1.12085","0.07302","782.47552","1036.32594","4.40000"
"1.14587","0.07479","801.19853","1059.33333","4.50000"
"1.16320","0.07613","815.36989","1075.60004","4.60000"
"1.19023","0.07799","835.38302","1099.41827","4.70000"
"1.21700","0.07987","855.15820","1123.96048","4.80000"
"1.23319","0.08117","867.85859","1138.76245","4.90000"
"1.25954","0.08298","888.97574","1162.66741","5.00000"
"1.28117","0.08459","903.78971","1182.18432","5.10000"
"1.30739","0.08643","923.73230","1206.68160","5.20000"
"1.32535","0.08782","937.20248","1222.32537","5.30000"
"1.35138","0.08967","956.50268","1246.72358","5.40000"
"1.37967","0.09163","977.51524","1272.34089","5.50000"
"1.39237","0.09276","987.16770","1284.74785","5.60000"
"1.41996","0.09466","1008.73352","1309.12429","5.70000"
"1.44066","0.09623","1024.47812","1328.93748","5.80000"
"1.46666","0.09808","1044.38572","1352.89936","5.90000"
"1.48555","0.09954","1059.63880","1370.32010","6.00000"
"1.51118","0.10138","1077.84569","1394.78722","6.10000"
"1.53604","0.10320","1097.07529","1418.62046","6.20000"
"1.54946","0.10439","1107.58329","1430.36747","6.30000"
"1.57915","0.10644","1129.46285","1458.80983","6.40000"
"1.59834","0.10798","1144.67542","1476.64256","6.50000"
"1.62217","0.10974","1162.83551","1498.84436","6.60000"
"1.64068","0.11122","1177.37986","1516.22063","6.70000"
"1.66501","0.11302","1195.11085","1539.03931","6.80000"
"1.68922","0.11482","1213.28305","1561.02830","6.90000"
"1.70225","0.11601","1223.78429","1571.77809","7.00000"
"1.73489","0.11826","1248.06922","1602.18298","7.10000"
"1.75018","0.11963","1260.46047","1616.02371","7.20000"
"1.77151","0.12129","1277.47352","1635.95495","7.30000"
