Specimen name,"CAG-CF-ER-Comp-E4"
Width,"9.80000",mm
Thickness,"2.30000",mm
Failure mode,Valid

Load,Extension,Front Strain,Rear Strain,Time
(kN),(mm),(usn),(usn),(s)
"0.00286","0.00000","8.10171","-0.21804","0.00000"
"0.00668","0.00049","10.68255","3.14588","0.10000"
"0.03049","0.00270","31.32103","21.54635","0.20000"
"0.05454","0.00473","51.15840","41.63943","0.30000"
"0.07087","0.00607","63.48019","55.42275","0.40000"
"0.09620","0.00808","85.02384","76.27446","0.50000"
"0.11716","0.00973","102.13125","92.70434","0.60000"
"0.13611","0.01121","117.76850","110.29872","0.70000"
"0.16089","0.01308","137.33344","132.30386","0.80000"
"0.18331","0.01477","154.76404","151.19057","0.90000"
"0.20316","0.01625","170.19206","168.26902","1.00000"
"0.22331","0.01773","185.18213","184.99783","1.10000"
"0.25111","0.01974","206.07321","208.67115","1.20000"
"0.27508","0.02147","225.15179","229.90078","1.30000"
"0.29408","0.02284","239.02894","245.88365","1.40000"
"0.32017","0.02468","260.25184","268.86922","1.50000"
"0.34476","0.02641","278.06903","291.52693","1.60000"
"0.36539","0.02786","294.33685","309.76228","1.70000"
"0.38954","0.02954","311.98826","331.29865","1.80000"
"0.41591","0.03136","334.83736","352.88665","1.90000"
"0.44095","0.03308","353.87266","374.31213","2.00000"
"0.46115","0.03447","368.14215","391.37664","2.10000"
"0.48980","0.03640","389.87948","415.48177","2.20000"
"0.51531","0.03812","408.50474","438.58017","2.30000"
"0.53500","0.03947","424.74925","453.51795","2.40000"
"0.56268","0.04130","446.52124","477.72838","2.50000"
"0.58813","0.04299","464.58442","500.19979","2.60000"
"0.61536","0.04478","484.98681","524.29811","2.70000"
"0.63613","0.04617","502.11448","542.35687","2.80000"
"0.66491","0.04805","522.56946","568.14600","2.90000"
"0.69277","0.04987","544.73092","591.64740","3.00000"
"0.71112","0.05109","558.37847","608.72216","3.10000"
"0.74103","0.05302","581.02387","633.80419","3.20000"
"0.76514","0.05461","599.76673","654.72949","3.30000"
"0.79342","0.05644","622.20532","679.92788","3.40000"
"0.81556","0.05791","638.35306","698.87366","3.50000"
"0.84292","0.05970","659.26230","723.29323","3.60000"
"0.87040","0.06148","680.32375","747.79941","3.70000"
"0.88851","0.06270","694.51134","763.40878","3.80000"
"0.92091","0.06477","720.22527","792.79777","3.90000"
"0.94384","0.06628","737.27866","812.81707","4.00000"
"0.97041","0.06800","756.74884","837.10678","4.10000"
"0.99320","0.06951","773.84344","857.55822","4.20000"
"1.02133","0.07132","794.43655","881.24251","4.30000"
"1.04959","0.07314","817.54866","906.03740","4.40000"
"1.06770","0.07436","830.33700","921.90172","4.50000"
"1.10212","0.07653","857.74268","953.10336","4.60000"
"1.12259","0.07790","874.83675","970.40058","4.70000"
"1.14844","0.07958","895.15373","992.81652","4.80000"
"1.17401","0.08124","914.67047","1014.79713","4.90000"
"1.20147","0.08302","936.21959","1038.27682","5.00000"
"1.22947","0.08482","958.62447","1063.20216","5.10000"
"1.24718","0.08602","973.27330","1076.80133","5.20000"
"1.28125","0.08817","1000.35523","1106.30272","5.30000"
"1.30335","0.08965","1016.11984","1126.60078","5.40000"
"1.32817","0.09127","1036.10533","1147.79349","5.50000"
"1.35497","0.09299","1058.00398","1171.15432","5.60000"
"1.38159","0.09473","1078.46595","1193.57277","5.70000"
"1.40769","0.09644","1099.65424","1216.16432","5.80000"
"1.42590","0.09770","1114.74283","1231.28016","5.90000"
"1.45923","0.09982","1140.49832","1260.22438","6.00000"
"1.48234","0.10138","1159.12117","1281.00824","6.10000"
"1.50492","0.10291","1177.20396","1299.78103","6.20000"
"1.53211","0.10471","1199.02042","1323.24977","6.30000"
"1.55608","0.10634","1217.67377","1344.01082","6.40000"
"1.58138","0.10804","1237.59790","1365.67943","6.50000"
"1.60058","0.10940","1254.03819","1381.75976","6.60000"
"1.63222","0.11146","1278.90427","1408.76579","6.70000"
"1.65555","0.11308","1297.25027","1428.13392","6.80000"
"1.67526","0.11449","1312.52443","1443.62869","6.90000"
"1.70319","0.11636","1334.59119","1466.75529","7.00000"
"1.72818","0.11810","1355.72685","1487.87128","7.10000"
"1.74993","0.11964","1372.55492","1506.42637","7.20000"
"1.77122","0.12113","1391.98662","1522.63045","7.30000"
"1.79940","0.12303","1416.52930","1546.08721","7.40000"
"1.82416","0.12474","1435.14527","1567.63708","7.50000"
"1.84338","0.12614","1452.09546","1583.76037","7.60000"
"1.87162","0.12803","1474.87794","1607.81771","7.70000"
"1.89782","0.12983","1496.18625","1628.95652","7.80000"
"1.91662","0.13122","1511.88567","1644.99471","7.90000"
"1.93951","0.13281","1530.34995","1664.13072","8.00000"
"1.96635","0.13464","1552.34407","1687.63427","8.10000"
"1.99240","0.13643","1573.75203","1709.11523","8.20000"
"2.01157","0.13784","1590.09581","1725.93596","8.30000"
"2.03998","0.13976","1614.38237","1749.84965","8.40000"
"2.06417","0.14146","1633.91384","1770.83688","8.50000"
"2.08178","0.14279","1648.52466","1785.02430","8.60000"
"2.10891","0.14462","1670.30841","1808.18338","8.70000"
"2.13271","0.14634","1690.57946","1829.07504","8.80000"
"2.15863","0.14813","1712.35425","1850.42992","8.90000"
"2.17703","0.14951","1727.07299","1866.15251","9.00000"
"2.20410","0.15137","1748.35406","1888.74686","9.10000"
"2.22913","0.15314","1769.69077","1910.09894","9.20000"
"2.24524","0.15440","1782.19879","1924.51850","9.30000"
"2.27627","0.15647","1806.90701","1949.88283","9.40000"
"2.29576","0.15796","1823.65789","1965.56910","9.50000"
"2.32033","0.15970","1843.77481","1986.72735","9.60000"
"2.33981","0.16115","1859.37050","2002.67741","9.70000"
"2.36687","0.16304","1880.88755","2026.18679","9.80000"
"2.39270","0.16487","1903.12578","2048.50244","9.90000"
"2.40668","0.16605","1915.36918","2059.13675","10.00000"
"2.43768","0.16813","1940.58090","2086.13672","10.10000"
"2.45617","0.16958","1956.65495","2102.30309","10.20000"
"2.48134","0.17137","1979.03370","2123.06366","10.30000"
"2.50191","0.17292","1995.74395","2140.11944","10.40000"
"2.52649","0.17469","2019.04052","2160.45952","10.50000"
"2.55127","0.17648","2037.42133","2181.28134","10.60000"
"2.56544","0.17767","2051.04612","2192.23532","10.70000"
"2.59779","0.17986","2077.10196","2220.10491","10.80000"
"2.61550","0.18129","2093.84388","2235.08850","10.90000"
"2.63875","0.18300","2113.10270","2254.66816","11.00000"
"2.66046","0.18462","2130.54311","2272.90206","11.10000"
"2.68197","0.18624","2149.21427","2290.76459","11.20000"
"2.70842","0.18814","2171.54133","2313.67815","11.30000"
"2.72209","0.18934","2183.80382","2323.34761","11.40000"
"2.75517","0.19159","2210.94047","2353.08777","11.50000"
"2.77269","0.19304","2225.69262","2366.69346","11.60000"
"2.79241","0.19457","2241.58308","2382.77344","11.70000"
"2.81537","0.19628","2260.70080","2402.11887","11.80000"
"2.83683","0.19792","2279.77103","2420.15184","11.90000"
"2.86204","0.19977","2300.94627","2441.12662","12.00000"
"2.87720","0.20105","2313.96034","2454.18772","12.10000"
"2.90810","0.20320","2339.19616","2480.90085","12.20000"
"2.92591","0.20466","2354.63865","2497.05720","12.30000"
"2.94567","0.20622","2372.59851","2512.76628","12.40000"
"2.97053","0.20803","2393.43452","2533.49100","12.50000"
"2.99269","0.20974","2413.63258","2551.95354","12.60000"
"3.01341","0.21137","2431.63225","2570.98419","12.70000"
"3.02914","0.21271","2446.06310","2584.15984","12.80000"
"3.05813","0.21477","2470.01974","2609.72069","12.90000"
"3.07975","0.21648","2488.25573","2628.34528","13.00000"
"3.09579","0.21789","2502.49309","2640.79124","13.10000"
"3.12051","0.21974","2524.05321","2662.56277","13.20000"
"3.14005","0.22135","2540.90456","2679.07674","13.30000"
"3.15962","0.22297","2557.57594","2696.08432","13.40000"
"3.17770","0.22447","2573.81960","2711.51843","13.50000"
