Specimen name,"CAG-CF-ER-Comp--E6"
Width,"9.80000",mm
Thickness,"2.30000",mm
Failure mode,Valid

Load,Extension,Front Strain,Rear Strain,Time
(kN),(mm),(usn),(usn),(s)
"0.00030","0.00000","1.31947","-0.13121","0.00000"
"0.00208","0.00046","3.97088","0.06431","0.10000"
"0.00796","0.00291","12.90289","3.25441","0.20000"
"0.00821","0.00434","8.27812","5.08885","0.30000"
"0.00893","0.00658","2.55112","10.17876","0.40000"
"0.00949","0.00794","-0.66376","12.73800","0.50000"
"0.00979","0.00961","-4.70630","15.88599","0.60000"
"0.01056","0.01124","-9.09350","19.60545","0.70000"
"0.01109","0.01301","-14.00145","23.75498","0.80000"
"0.01159","0.01484","-18.32924","28.00206","0.90000"
"0.01213","0.01605","-20.46795","31.34932","1.00000"
"0.01264","0.01817","-25.23679","36.01325","1.10000"
"0.01329","0.01966","-28.53517","40.73913","1.20000"
"0.01341","0.02128","-33.64121","45.08935","1.30000"
"0.01392","0.02301","-36.33772","49.96634","1.40000"
"0.01452","0.02468","-42.24099","54.65961","1.50000"
"0.01459","0.02640","-49.86249","58.48606","1.60000"
"0.01523","0.02771","-50.96557","62.82650","1.70000"
"0.01532","0.02981","-60.42155","68.75696","1.80000"
"0.01615","0.03135","-63.13724","71.74633","1.90000"
"0.01619","0.03289","-68.10122","75.77892","2.00000"
"0.01687","0.03470","-72.03231","80.92962","2.10000"
"0.01731","0.03632","-77.47448","84.83863","2.20000"
"0.01728","0.03797","-81.90352","90.32720","2.30000"
"0.01827","0.03944","-84.43887","94.10737","2.40000"
"0.01818","0.04147","-92.07734","99.04904","2.50000"
"0.01898","0.04309","-95.21622","101.79557","2.60000"
"0.01894","0.04449","-99.18995","107.09131","2.70000"
"0.01936","0.04634","-105.15116","112.39613","2.80000"
"0.01992","0.04800","-108.58492","116.22511","2.90000"
"0.01969","0.04960","-114.96713","121.24568","3.00000"
"0.02126","0.05127","-117.21792","126.42573","3.10000"
"0.02178","0.05306","-124.40946","131.98565","3.20000"
"0.02356","0.05477","-125.79419","137.38798","3.30000"
"0.02426","0.05617","-130.80476","142.31287","3.40000"
"0.02532","0.05809","-136.41246","150.64403","3.50000"
"0.02658","0.05986","-140.28825","155.32281","3.60000"
"0.02688","0.06118","-145.02053","161.10952","3.70000"
"0.02853","0.06289","-149.08133","166.90022","3.80000"
"0.02926","0.06467","-154.41979","173.56034","3.90000"
"0.03104","0.06652","-159.20449","180.04100","4.00000"
"0.03411","0.06787","-158.95859","185.16392","4.10000"
"0.04237","0.06969","-153.17005","193.16364","4.20000"
"0.05101","0.07145","-148.24292","202.16552","4.30000"
"0.05641","0.07280","-146.40267","208.81263","4.40000"
"0.06568","0.07470","-142.94042","218.30924","4.50000"
"0.07117","0.07633","-144.74637","225.78688","4.60000"
"0.07975","0.07814","-141.87007","235.35403","4.70000"
"0.08622","0.07946","-138.02493","242.09640","4.80000"
"0.09593","0.08133","-132.36745","251.79723","4.90000"
"0.10678","0.08320","-125.12319","261.64335","5.00000"
"0.11323","0.08442","-121.47667","267.02078","5.10000"
"0.12798","0.08644","-110.92687","279.67212","5.20000"
"0.13807","0.08799","-103.22897","287.01333","5.30000"
"0.15174","0.08973","-93.45966","300.92176","5.40000"
"0.16356","0.09118","-83.08377","310.85438","5.50000"
"0.17906","0.09300","-70.45824","323.34239","5.60000"
"0.19562","0.09487","-56.60999","337.02579","5.70000"
"0.20519","0.09604","-49.26876","344.71453","5.80000"
"0.22503","0.09811","-33.13398","361.64245","5.90000"
"0.23870","0.09963","-22.50842","372.39320","6.00000"
"0.25524","0.10137","-9.07833","387.35280","6.10000"
"0.27012","0.10292","2.99812","399.06340","6.20000"
"0.28758","0.10470","16.98180","415.05971","6.30000"
"0.30542","0.10648","30.90635","430.32508","6.40000"
"0.31639","0.10766","40.70687","439.47573","6.50000"
"0.33875","0.10976","57.35917","459.91165","6.60000"
"0.35439","0.11132","70.54984","472.84056","6.70000"
"0.37202","0.11301","83.22631","488.04455","6.80000"
"0.38918","0.11463","98.68089","503.72432","6.90000"
"0.40756","0.11635","113.24569","521.24041","7.00000"
